skin_Y,skin_Cr,skin_Cb,hair_R,hair_G,hair_B,eye_R,eye_G,eye_B,contrast,label
119.7878125,156.3990625,111.7609375,137.296875,150.3884375,199.061875,95.06666666666666,112.22083333333333,167.845,45.132008536618166,TONE 1
152.68484375,129.79625,125.97203125,150.755,154.6071875,155.88375,154.73416666666665,157.61583333333334,161.5375,18.89416358131526,TONE 1
167.81890625,154.89328125,111.30171875,126.76625,149.1509375,192.7375,147.445,165.02583333333334,212.86666666666667,47.68777139104296,TONE 1
139.52140625,137.75296875,119.6575,103.6659375,119.7525,145.650625,112.5375,125.64416666666666,147.22333333333333,13.977635024477497,TONE 1
147.23984375,156.50890625,109.62625,134.9803125,156.5059375,210.173125,99.22666666666667,121.42416666666666,180.275,42.4069021266291,TONE 1
147.31359375,129.12234375,126.75453125,145.1128125,148.7584375,149.915,148.36083333333335,152.06333333333333,153.70916666666668,17.612050325682556,TONE 1
152.08515625,156.45421875,111.17625,147.9784375,165.460625,206.09375,148.39666666666668,163.94416666666666,210.72833333333332,46.95882241685262,TONE 1
102.7184375,126.9921875,129.97171875,120.741875,116.9925,116.0578125,107.015,102.18083333333334,100.36166666666666,15.573880633913147,TONE 1
145.9571875,157.84109375,110.09703125,141.4846875,162.2653125,216.656875,84.4225,104.95833333333333,162.965,51.685562843258026,TONE 1
158.4225,156.364375,110.106875,153.3084375,172.4621875,217.046875,106.57333333333334,129.45833333333334,181.67833333333334,44.24509672042062,TONE 1
166.23796875,155.10484375,110.71640625,126.853125,148.83125,194.679375,134.08083333333335,153.2025,205.03166666666667,47.53987076063102,TONE 1
104.3075,126.4915625,130.43171875,120.378125,116.39125,114.9725,112.74333333333334,107.99,106.12166666666667,16.097890959979043,TONE 1
158.88578125,157.4596875,109.06625,130.68875,154.0378125,213.6028125,77.82833333333333,100.1925,159.50916666666666,47.14962718569469,TONE 1
146.94390625,122.943125,134.84765625,169.6053125,156.7696875,144.4184375,153.8825,142.495,133.015,16.17488837395795,TONE 1
168.10703125,155.181875,111.428125,139.3421875,158.1259375,199.6215625,157.69,171.6375,215.33583333333334,48.11908511598464,TONE 1
183.30578125,134.12375,121.79484375,181.8959375,188.0646875,195.559375,175.82083333333333,185.56416666666667,194.955,15.561400915004407,TONE 1
168.12703125,113.9290625,143.5384375,192.8459375,169.6575,146.4096875,201.9475,178.89083333333335,153.66,14.536274459434233,TONE 1
152.9078125,152.06828125,114.10875,165.3196875,181.505,214.339375,108.21916666666667,119.23916666666666,146.495,52.960008001315245,TONE 1
153.21890625,150.78359375,114.98046875,190.816875,202.1709375,227.4171875,107.21083333333333,116.39416666666666,140.66916666666665,54.78845147197993,TONE 1
157.36640625,152.768125,113.28046875,154.771875,174.4525,212.555625,82.71333333333334,97.12833333333333,135.39583333333334,56.79954657045578,TONE 1
130.4390625,130.47875,125.68203125,136.23125,141.704375,146.8009375,133.77916666666667,138.90416666666667,143.985,16.44821981978597,TONE 1
145.04046875,151.05265625,114.21625,167.3003125,183.838125,218.3065625,103.28333333333333,116.7775,152.71083333333334,50.68044612508359,TONE 1
181.02546875,106.39796875,150.4596875,232.05375,196.8615625,156.283125,201.41083333333333,169.02666666666667,131.52833333333334,29.198910361936022,TONE 1
136.64328125,128.82015625,127.10546875,146.691875,151.41625,154.095,141.7625,144.1925,146.72416666666666,18.94261295010538,TONE 1
159.6703125,143.8271875,111.5075,128.7653125,149.9765625,177.0596875,139.425,160.165,184.85583333333332,23.005203623310965,TONE 1
138.28375,150.275,114.940625,186.9634375,199.82625,226.7934375,94.5275,106.6075,142.17,51.23670407012315,TONE 1
129.595625,131.50078125,124.27796875,124.438125,132.888125,141.6003125,125.92416666666666,133.71916666666667,141.14083333333335,15.448600834521391,TONE 1
125.9359375,131.579375,124.45703125,118.53,127.73,137.996875,119.47333333333333,127.89583333333333,137.265,15.851216997264753,TONE 1
170.61828125,136.85375,120.3328125,154.9646875,166.3090625,183.4015625,146.38,159.41916666666665,177.34666666666666,19.76561406165705,TONE 1
167.490625,151.501875,115.43203125,157.1821875,174.80375,212.855625,92.46916666666667,103.96833333333333,142.89666666666668,54.14249419797263,TONE 1
208.42671875,133.30875,122.27671875,190.8840625,201.43125,211.8021875,196.82583333333332,205.14416666666668,214.25916666666666,11.709796086076821,TONE 1
156.60671875,150.890625,113.9796875,157.3228125,176.0584375,209.91625,104.685,118.63,152.8775,51.30589610000371,TONE 1
122.804375,143.76828125,112.68203125,111.9784375,132.5259375,158.20875,89.88,108.395,136.415,26.35904214210704,TONE 1
129.12671875,131.06046875,125.13984375,124.4421875,131.0575,137.65125,124.34083333333334,128.87833333333333,134.2225,13.506345584205965,TONE 1
147.346875,153.39375,115.144375,166.4703125,182.235625,219.846875,84.91,94.77083333333333,132.20833333333334,58.8767555306793,TONE 1
130.5175,128.42421875,126.65984375,115.68375,122.369375,127.7221875,128.3875,133.01916666666668,133.0475,16.95973788489595,TONE 1
229.79359375,133.47109375,123.3125,206.355,215.41,231.435625,219.95416666666668,225.90666666666667,235.745,12.224406255417888,TONE 1
138.5628125,121.07015625,134.15078125,147.7234375,140.1553125,126.4696875,151.01666666666668,143.09666666666666,129.95083333333332,14.285081404191402,TONE 1
106.1121875,124.5421875,132.1975,112.071875,104.553125,99.0325,109.285,100.94833333333334,94.09916666666666,23.954067110813877,TONE 1
158.65953125,126.22265625,128.8246875,180.1353125,178.3871875,171.244375,159.01083333333332,159.90916666666666,157.22166666666666,36.196365363078925,TONE 1
190.81859375,121.78125,136.52890625,237.7396875,218.521875,200.6771875,205.77,191.84583333333333,179.90916666666666,22.98198176929864,TONE 1
81.29359375,149.43390625,115.6678125,99.07125,115.221875,162.1521875,37.6525,43.99,68.35666666666667,50.414744254973414,TONE 1
160.32890625,140.009375,111.6675,133.248125,148.38,160.0728125,116.80083333333333,141.5575,162.1975,39.11265940127314,TONE 1
85.28109375,150.0534375,115.03859375,106.9271875,124.1228125,167.1596875,67.27,71.67416666666666,95.72666666666667,64.3629758714152,TONE 1
